Name,Emotional value:,Health value:,Product group:,Energy (kcal),Energy (kJoule),Water,Protein,Fat,Saturated fat,Monounsaturated fat,Polyunsaturated fat,Trans fat,Cholesterol,Carbohydrates,Sugars,Polysaccharides,Dietary fiber,Vitamin A (Retinol),Vitamin B1 (Thiamine),Vitamin B (Repulfvin),Vitamin B3 (Niacin),Vitamin B6 (Pyridoxine),Vitamin B11 (Folic acid),Vitamin B12 (Cobalamin),Vitamin C (Ascorbic Acid),Vitamin D (Calcifine),Vitamin E (Tocopherol),Vitamin K (Phyloquinone),Sodium (Na),Potassium (K),Calcium (Ca),Phosphorus (P),Iron (Fe),Magnesium (Mg),Copper (Cu),Zinc (Zn),Selenium (Se),Iodine (I),Manganese (Mn)
"Grapes, blue, fresh",7.6,-,Fruit,53,224,"85,2","0,9","0,1","0,0","0,0","0,0",-,"0,0","11,5","11,0",-,"1,3","0,01","0,03","0,02",-,"0,10",1,"0,00","2,5","0,0",-,-,0,190,"20,0","15,0","0,4","12,00","0,10","0,08",-,-,-
"Grapes, green/white, fresh",7.9,-,Fruit,57,242,"84,5","0,5","0,0","0,0","0,0","0,0",-,"0,0","13,5","13,3",-,"0,5","0,01","0,04","0,02",-,"0,10",1,"0,00","2,0","0,0",-,-,1,180,"10,0","16,0","0,5","5,00","0,10","0,10",-,-,-
"Guava, fresh",5.2,-,Fruit,46,195,"85,8","0,9","0,5","0,0","0,0","0,0",-,"0,0","7,5","6,0",-,"4,3","0,07","0,04","0,04",-,"0,10",-,"0,00","220,0","0,0",-,-,5,230,"10,0","25,0","0,4","10,00","0,10","0,20",-,-,-
"Khaki-fruit, fresh",4.2,-,Fruit,78,327,"79,5","0,5","0,0","0,0","0,0","0,0",-,"0,0","18,5","18,3",-,"0,5","0,20","0,02","0,03",-,-,-,"0,00","20,0","0,0",-,-,1,180,"10,0","20,0","0,4","10,00","0,10","0,10",-,-,-
"Kiwi, fresh",8.4,-,Fruit,48,205,"86,8","1,0","0,2","0,0","0,0","0,0",-,"0,0","10,3","7,5",-,"0,7","0,06","0,02","0,05",-,"0,10",20,"0,00","65,0","0,0",-,-,4,300,"40,0","30,0","0,8","10,00","0,12","0,10",-,-,-
Kumkwat,4.7,-,Fruit,71,301,"80,5","1,0","0,0","0,0","0,0","0,0",-,"0,0","16,0","15,8",-,"1,5","0,01","0,15","0,06",-,"0,06",-,"0,00","60,0","0,0",-,-,5,180,"60,0","20,0","0,7","10,00","0,11","0,10",-,-,-
"Lemon, pealed, fresh",6.1,-,Fruit,36,151,"89,4","0,5","0,4","0,0","0,0","0,0",-,"0,0","6,5","3,0",-,"2,2","0,00","0,06","0,02",-,"0,04",8,"0,00","45,0","0,0",-,-,2,150,"10,0","20,0","0,1","10,00","0,05","0,10",-,-,-
"Limes, fresh",6.0,-,Fruit,32,135,"93,0","0,5","2,5",-,-,-,-,"0,0","2,0","1,9",-,-,-,"0,03","0,02",-,-,-,-,"45,0",-,-,-,2,80,"15,0","11,0","0,2",-,-,-,-,-,-
"Lychee, fresh",6.8,-,Fruit,81,342,"78,6","0,9","0,3","0,0","0,0","0,0",-,"0,0","18,0","16,8",-,"1,2","0,00","0,05","0,05",-,"0,04",-,"0,00","39,0","0,0",-,-,2,180,"10,0","35,0","0,4","20,00","0,15","0,18",-,-,-
"Mangos, fresh",7.4,-,Fruit,61,259,"83,3","1,1","0,3","0,0","0,0","0,1",-,"0,0","12,8","12,2",-,"1,5","0,10","0,05","0,05",-,"0,04",20,"0,00","36,0","0,0",-,-,5,190,"12,0","12,0","0,2","10,00","0,10","0,07",-,-,-
